      1000      0.00
      2000      0.00
      3000      0.01
      4000      0.01
      5000      0.02
      6000      0.02
      7000      0.04
      8000      0.05
      9000      0.05
     10000      0.06
     11000      0.08
     12000      0.11
     13000      0.12
     14000      0.14
     15000      0.16
     16000      0.18
     17000      0.21
     18000      0.23
     19000      0.26
     20000      0.29
     21000      0.32
     22000      0.35
     23000      0.38
     24000      0.41
     25000      0.45
     26000      0.48
     27000      0.52
     28000      0.57
     29000      0.60
     30000      0.65
     31000      0.68
     32000      0.74
     33000      0.78
     34000      0.83
     35000      0.88
     36000      0.93
     37000      0.98
     38000      1.03
     39000      1.09
     40000      1.15
     41000      1.20
     42000      1.26
     43000      1.32
     44000      1.39
     45000      1.45
     46000      1.52
     47000      1.58
     48000      1.65
     49000      1.73
     50000      1.78
     51000      1.86
     52000      1.94
     53000      2.01
     54000      2.09
     55000      2.17
     56000      2.25
     57000      2.33
     58000      1.96
     59000      2.49
     60000      2.58
     61000      2.67
     62000      2.75
     63000      2.85
     64000      2.94
     65000      3.03
     66000      3.12
     67000      3.22
     68000      3.31
     69000      3.41
     70000      3.52
     71000      3.61
     72000      3.71
     73000      3.82
     74000      3.92
     75000      4.03
     76000      4.15
     77000      4.25
     78000      4.36
     79000      4.48
     80000      4.58
     81000      4.71
     82000      4.82
     83000      4.94
     84000      5.06
     85000      5.19
     86000      5.30
     87000      5.43
     88000      5.55
     89000      5.69
     90000      5.81
     91000      5.94
     92000      6.07
     93000      6.21
     94000      6.34
     95000      6.48
     96000      6.61
     97000      6.75
     98000      6.89
     99000      7.03
    100000      7.17
