        25      0.00      0.00      0.00      0.00
        50      0.00      0.00      0.00      0.00
        75      0.00      0.00      0.00      0.00
       100      0.00      0.00      0.00      0.00
       125      0.00      0.00      0.00      0.00
       150      0.00      0.00      0.00      0.00
       175      0.00      0.00      0.00      0.00
       200      0.00      0.00      0.00      0.00
       225      0.00      0.00      0.00      0.00
       250      0.00      0.00      0.00      0.00
       275      0.00      0.00      0.00      0.00
       300      0.00      0.00      0.00      0.00
       325      0.00      0.00      0.00      0.00
       350      0.00      0.00      0.00      0.00
       375      0.00      0.00      0.00      0.00
       400      0.00      0.00      0.00      0.00
       425      0.01      0.00      0.00      0.00
       450      0.01      0.00      0.00      0.00
       475      0.01      0.00      0.00      0.00
       500      0.01      0.00      0.00      0.00
       525      0.01      0.00      0.00      0.00
       550      0.01      0.00      0.00      0.00
       575      0.01      0.00      0.00      0.00
       600      0.01      0.00      0.00      0.00
       625      0.01      0.00      0.00      0.00
       650      0.01      0.00      0.00      0.00
       675      0.02      0.00      0.00      0.00
       700      0.02      0.00      0.00      0.00
       725      0.03      0.00      0.00      0.00
       750      0.03      0.00      0.00      0.00
       775      0.04      0.00      0.00      0.00
       800      0.04      0.00      0.00      0.00
       825      0.05      0.00      0.00      0.00
       850      0.05      0.00      0.00      0.00
       875      0.05      0.00      0.00      0.00
       900      0.06      0.00      0.00      0.00
       925      0.06      0.00      0.00      0.00
       950      0.07      0.00      0.00      0.00
       975      0.07      0.00      0.00      0.00
      1000      0.08      0.00      0.00      0.00
      1025      0.09      0.00      0.00      0.00
      1050      0.09      0.00      0.00      0.00
      1075      0.10      0.00      0.00      0.00
      1100      0.11      0.00      0.00      0.00
      1125      0.11      0.00      0.00      0.00
      1150      0.12      0.00      0.00      0.00
      1175      0.13      0.00      0.00      0.00
      1200      0.14      0.00      0.00      0.00
      1225      0.15      0.00      0.00      0.00
      1250      0.16      0.00      0.00      0.00
      1275      0.17      0.00      0.00      0.00
      1300      0.18      0.00      0.00      0.00
      1325      0.19      0.00      0.00      0.00
      1350      0.20      0.00      0.00      0.00
      1375      0.21      0.00      0.00      0.00
      1400      0.22      0.00      0.00      0.00
      1425      0.23      0.00      0.00      0.00
      1450      0.24      0.00      0.00      0.00
      1475      0.26      0.00      0.00      0.00
      1500      0.27      0.00      0.00      0.00
      1525      0.28      0.00      0.00      0.00
      1550      0.30      0.00      0.00      0.00
      1575      0.31      0.00      0.00      0.00
      1600      0.33      0.00      0.00      0.00
      1625      0.34      0.00      0.00      0.00
      1650      0.36      0.00      0.00      0.00
      1675      0.38      0.00      0.00      0.00
      1700      0.39      0.00      0.00      0.00
      1725      0.41      0.00      0.00      0.00
      1750      0.43      0.00      0.00      0.00
      1775      0.45      0.00      0.00      0.00
      1800      0.47      0.00      0.00      0.00
      1825      0.48      0.00      0.00      0.00
      1850      0.51      0.00      0.00      0.00
      1875      0.53      0.00      0.00      0.00
      1900      0.55      0.00      0.00      0.00
      1925      0.57      0.00      0.00      0.00
      1950      0.59      0.00      0.00      0.00
      1975      0.61      0.00      0.00      0.00
      2000      0.64      0.00      0.00      0.00
      2025      0.66      0.00      0.00      0.00
      2050      0.69      0.00      0.00      0.00
      2075      0.71      0.00      0.00      0.00
      2100      0.74      0.00      0.00      0.00
      2125      0.76      0.00      0.00      0.00
      2150      0.79      0.00      0.00      0.00
      2175      0.82      0.00      0.00      0.00
      2200      0.85      0.00      0.00      0.00
      2225      0.88      0.00      0.00      0.00
      2250      0.91      0.00      0.00      0.00
      2275      0.94      0.00      0.00      0.00
      2300      0.97      0.00      0.00      0.00
      2325      1.00      0.00      0.00      0.00
      2350      1.03      0.00      0.00      0.00
      2375      1.07      0.00      0.00      0.00
      2400      1.10      0.00      0.00      0.00
      2425      1.14      0.00      0.00      0.00
      2450      1.17      0.00      0.00      0.00
      2475      1.21      0.00      0.00      0.00
      2500      1.25      0.00      0.00      0.00
      2525      1.28      0.00      0.00      0.00
      2550      1.32      0.00      0.00      0.00
