      1000    100.00      0.00      0.00      0.00
      2000    100.00      0.01      0.00      0.00
      3000    100.00      0.00      0.00      0.00
      4000    100.00      0.00      0.00      0.00
      5000    100.00      0.01      0.00      0.00
      6000    100.00      0.01      0.00      0.00
      7000    100.00      0.01      0.00      0.00
      8000    100.00      0.01      0.00      0.00
      9000    100.00      0.01      0.00      0.00
     10000    100.00      0.02      0.00      0.00
     11000    100.00      0.02      0.00      0.00
     12000    100.00      0.03      0.00      0.00
     13000    100.00      0.03      0.00      0.00
     14000    100.00      0.03      0.00      0.00
     15000    100.00      0.04      0.00      0.00
     16000    100.00      0.04      0.00      0.00
     17000    100.00      0.05      0.00      0.00
     18000    100.00      0.06      0.00      0.00
     19000    100.00      0.06      0.00      0.00
     20000    100.00      0.07      0.00      0.00
     21000    100.00      0.08      0.00      0.00
     22000    100.00      0.08      0.00      0.00
     23000    100.00      0.09      0.00      0.00
     24000    100.00      0.10      0.00      0.00
     25000    100.00      0.12      0.00      0.00
     26000    100.00      0.11      0.00      0.00
     27000    100.00      0.12      0.00      0.00
     28000    100.00      0.13      0.00      0.00
     29000    100.00      0.14      0.00      0.00
     30000    100.00      0.15      0.00      0.00
     31000    100.00      0.16      0.00      0.00
     32000    100.00      0.18      0.00      0.00
     33000    100.00      0.19      0.00      0.00
     34000    100.00      0.20      0.00      0.00
     35000    100.00      0.21      0.00      0.00
     36000    100.00      0.22      0.00      0.00
     37000    100.00      0.23      0.00      0.00
     38000    100.00      0.25      0.00      0.00
     39000    100.00      0.26      0.00      0.00
     40000    100.00      0.27      0.00      0.00
     41000    100.00      0.33      0.00      0.00
     42000    100.00      0.30      0.00      0.00
     43000    100.00      0.31      0.00      0.00
     44000    100.00      0.33      0.00      0.00
     45000    100.00      0.45      0.00      0.00
     46000    100.00      0.36      0.00      0.00
     47000    100.00      0.38      0.00      0.00
     48000    100.00      0.39      0.00      0.00
     49000    100.00      0.41      0.00      0.00
     50000    100.00      0.42      0.00      0.00
     51000    100.00      0.59      0.00      0.00
